【2020/09/06
01.名探偵連続殺人事件/てにをは ×エリー→①竹輪
02.死んでしまったのだろうか/Guiano ①あー
03.*tear*/DATEKEN ×スルー
04.少年と魔法のロボット(Fukase ver.)/40mP ②あー
05.ラブ＆デストロイ/みやけ ①ちみ
06.Lying and Lying/ぺぺろんP ③あー
07.コールボーイ/syudou ①STN
08.こっち向いてBaby/ryo ①とりりす。
09.ネコネコ☆スーパーフィーバーナイト/samfree ①きぐな
10.ぼんじんパレード/和田たけあき ×きぐな→×あー→①とげ
11.アップルドットコム/ピノキオピー ①てばこめめ
12.キズ/ハヤシケイ ×きぐな→①フォルテ
13.ノエル・デ・フィガロ/nyanyannya ×Abbey→①ぬーん
14.青へ向かう/シャノン ×また切
15.しろくまダンス/村人P ①Sohbana
16.？/SLAVE.V-V-R ★あー
17.39みゅーじっく！/みきとP ×てばこめめ→×Klayn
18.命のユースティティア/Neru ②ちみ
19.インナーダーク/西沢さんP ③ちみ
20.Sweet's Beast/めんでぇP ②フォルテ
21.ノルア・ドルア・ビー/すりぃ ①また切
22.たりないかぼちゃ/ピノキオピー ★ちみ
23.極楽鳥花/煮ル果実 ②STN
24.天国と地獄/れるりり ①ホワイト
25.痾と蒼/ある調味料 ×スルー
26.セカイ再信仰特区/ろくろ ①ぐりーん
27.まさに・・・まさに・・・女神サマ!!/うたたP ①Abbey
28.B.B.F./KIRA・Heartbreaker ③STN
29.一途な片思い、実らせたい小さな幸せ。/うたたP ①すべから
30.グロテスクな生命/ミリ子 ×スルー
31.ウタハコ:／／H/cosMo ②きぐな
32.完全懲悪ロリィタコンプレックス/かいりきベア ①Klayn
33.吸血哀歌/たてごと♪ ×スルー
34.メイレイン/emon(Tes.) ①しみら
35.僕のために泣いてくれ/まらしぃ ★STN
36.Creator's Real/たかぴぃ ①しるばー
37.Haruna/haruna808 ×スルー
38.Gears of Love/ギガ・レタスP ②すべから
39.月を探して/電ポルP ②とげ
40.おどれ！VRダンス！/和田たけあき ②ぐりーん
41.ハズレメイト/しじま ×てばこめめ→②しみら
42.メルクリウス/傘村トータ ③ぐりーん
43.ツギハギスタッカート/とあ ③すべから
44.泥中に咲く/はりー ②Abbey
45.Black or White/雄之助 ×きぐな→②ホワイト
46.あとのまつり/Peg ②てばこめめ
47.アンヘル/かいりきベア ③てばこめめ
48.テイクアウト・スーサイド/しーくん ③とげ
49.私とジュリエット/doriko ×ぐりーん→×きぐな→③ホワイト
50.ハナイロ☆シャイガール/キノシタ ★すべから
51.四面楚歌/梅とら ×きぐな
52.デキナイ詐欺/EZFG ③しみら
53.アンベシル滑落奇譚/TaKU.K ①ろあ
54.メーベル/バルーン ★てばこめめ
55.暗殺プリンセス/Mitchie_M ×きぐな→③Abbey
56.アリス/ATOLS ×Klayn→②ろあ
57.ミヤコワスレ/cosMo ×フォルテ→③きぐな
58.匿名希望/shino ③ろあ
59.早退系ネガティブ天国/ゆうゆP ★きぐな
60.Currant/春野 ×ろあ→★ホワイト
61.じっっと見ている/EZFG ★Abbey
62.ユージュアル・サスペクツ/appy ①ぽっくる
63.うみたがり/MARETU ★ろあ
64.用法容量をお守りください/さつき が てんこもり ×スルー
65.black Out/おとよいP ×スルー
66.マニック/*Luna ★ぐりーん
67.取り柄のないクズだって生きてていいだろが/ヘルニア ×ぴよ→★とげ

【2020/09/13
01.ハイパーゴアムササビスティックディサピアリジーニャス/nyanyannya ①きぐな
02.約束/のりP ①フォルテ
03.悪ノ娘/悪ノP ①あー
04.踊れオーケストラ/YASUHIRO ①ぶくれしゅち
05.ギガンティックO.T.N/ギガ ①ぐりーん
06.アンチサイクロン/稲葉曇 ①てばこめめ
07.朝を呑む/バルーン ①ろあ
08.LaLaL危/梅とら ②ろあ
09.ガランド/ピコン ③ろあ
10.クノイチでも恋がしたい/みきとP ★ろあ
11.浮遊月光街/稲葉曇 ①ちみ
12.きみも悪い人でよかった/ピノキオピー ②ぶくれしゅち
13.蜜月アン・ドゥ・トロワ/DATEKEN ①fuji#
14.どりーみんチュチュ/emon(Tes.) ②きぐな
15.クライヤ/すこっぷ ①とげ
16.キミの全てを見せてよ/Omoi ×fuji#→②ぐりーん
17.Day&Night/Aqu3ra ①STN
18.ネガティブ進化論/DECO*27 ①微熱
19.コトバのうた/40mP ②フォルテ
20.Contrast/ナカノは4番 ×STN→×きぐな→×Klayn
21.地獄はどこですエンマさま/羽生まゐご ②あー
22.仇返しシンドローム/まふまふ ③あー
23.セルリアンブルー錯視症/ある調味料 ①激中華
24.天照ラセ/まらしぃ ①しるばー
25.Alice in 冷凍庫/Orangestar ②てばこめめ
26.ゼンセイキバクダン/ぷす ×ぐりーん→×きぐな→×あー
27.マイルームディスコナイト/EasyPop ①Abbey
28.ガラクタのエレジー/椎名もた ×STN→③きぐな
29.心象カスケード/電ポルP ②ちみ
30.幸せの測り方/ぺむ ③ぐりーん
31.昨日をうまく生きられなかった私達はきっと明日もうまく生きられない。/HaTa ×とげ
32.恋空予報/電ポルP ★あー
33.キミナシビジョン/KulfiQ ★きぐな
34.つまんねえな/梨本うい ×Abbey→×Klayn
35.Pelagic fish/無力P ×スルー
36.僕らの航海フォトグラフィー/n-buna ×Abbey→×ぶくれしゅち
37.ラブチーノ/Junky ①とりりす。
38.アンチリアリズム/*Luna ③ちみ
39.SETSUNA/SHIKI ②とりりす。
40.こあ/ピノキオピー ②STN
41.呪いのススメ/bibuko ①けんくろ
42.残灯花火/Orangestar ②けんくろ
43.3分の曲を聴くのにかかる時間は3分/オワタP ③STN
44.最後の晩餐/Misumi ①Klayn
45.少女失格/なきそ ×STN→①ホワイト
46.White Prism/蝶々P ×ぶくれしゅち→②Abbey
47.jewelfish/Re:nG ×すべから→×yu-na*→③フォルテ
48.カムパネルラ/sasakure.UK ②しるばー
49.おかえりロンリー/アゴアニキ ③ぶくれしゅち
50.家に帰ると妻が必ず死んだふりをしています。/ほぼ日P ★ぶくれしゅち
51.チチンプイプイ/真島ゆろ ★STN
52.ダスト/クワガタP ×けんくろ→★ぐりーん
53.ヨヒラ/n-buna ①ぽっくる
54.クリサリス/ナナホシ管弦楽団 ②ホワイト
55.快晴/Orangestar ×ぽんず→③てばこめめ
56.ドドド更生人生/ぷす ①しみら
57.クラウドナイン/Fushi ×てばこめめ→×Klayn→×とげ
58.アウターサイエンス/じん ★ちみ
59.合い鳴き/shr ③しるばー
60.Let Me Take You/banbox ①しゃい
61.一角獣/てにをは ②微熱
62.連想アクトレス～狩人と獣～/ひとしずく×やま△ ×すべから→★フォルテ
63.花降らし/n-buna ②しみら
64.よくばり/Ayase ②しゃい
65.20HZ-ニジュッヘルツ-/emon(Tes.) ③しみら
66.ねがい/てぃあら ③ホワイト
67.好きって言って/ちいたな ①yu-na*
68.レディーレ/バルーン ②Klayn
69.Party×Party/ひとしずくP・やま△ ①すべから

【2020/09/20
1.ファッションきる/れるりり ×きぐな→①とげ
2.2/ジミーサムP スルー
3.車窓の貴方へ/はるふり ×しるばー
4.虎視眈々/梅とら ①すべから
5.パズルガール/とあ ②とげ
6.アイカギ/けーだっしゅ ×とげ
6.ツンデ恋歌/れれれP ×きぐな→①フォルテ
7.愛言葉Ⅱ/DECO*27 ③とげ
8.めめめめめ/ちんたら ①ちみ
9.ゴールデンジャーニー/メル ①ろあ
10.ダチュラと林檎/ねじ式 ①ぐりーん
11.オルターエゴ/Misumi ②ろあ
12.ワンダーランド/higma ①STN
13.スコール/春野 ①fuji#
14.ケッペキショウ/すこっぷ ②すべから
15.メーデー/Aqu3ra ×ろあ→①ホワイト
16.ロゼッタ/monaca:factory ①きぐな
17.くたばれPTA/梨本うい ②きぐな
18.各駅停車/末代雨季。 ③ろあ
19.愛欲のプリズナー/ひとしずく×やま△ ②すべから
20.テレキャスタービーボーイ/すりぃ ①てばこめめ
21.Close to you/niki ★ろあ
22.空想庭園依存症/暴走P ③きぐな
23.KSGR地獄の刑/ワンダフル☆オポチュニティ！ ②てばこめめ
24.I want you/Masakey スルー
25.少女は夜と鮮やかに/Matica ②ちみ
26.ベネ/SEVENTHLINKS ②ホワイト
27.メグメグ☆ファイヤーエンドレスナイト/samfree ★きぐな
28.カンデンさせちゃうぞ/カルロス袴田 ×STN→③ちみ
