【2026/06/19　ちあトロ D2グループ　セットリスト】

1.デロスサントス/山本　①なすの惑星
2.‪Shadow Shadow/Azari　①あさぼらけ
3.Fondant Step/Heavenz　①HAN
4.トウキョウト・ロック・シティ/えこまる　×なすの惑星→×すBAR→・スルー
5.SorrowChat/MIMI　①しがない炭酸飲料
6.大女優さん/いよわ　①間宵
7.フューチャー・イヴ/sasakure.UK　②なすの惑星
8.え？あぁ、そう。- 10th Anniversary Edition -/蝶々P　②あさぼらけ
9.相愛性理論/DECO*27　①あご星人
10.オペラ！スペースオペラ！/ナユタン星人　①すBAR
11.Summering/じん　①つばさ
12.地獄行きの列車に乗ってさらば！/Aliey:S　×なすの惑星→×水筒→×あご星人→②すBAR
13.牆壁/Orangestar　③すBAR
14.ADAM/雨良　①おはよう
15.WAVEFILE/ラマーズP　×なすの惑星→②あご星人
16.点.mp4/安見すや　②つばさ
17.ピニャコラーダ/ねじ式　③つばさ
18.粘着系男子の１５年ネチネチ/家の裏でマンボウが死んでるP　×あさぼらけ→②間宵
19.般若心経ロック/クワガタP　③なすの惑星
20.だってだってだって/タカノン　④なすの惑星
21.アカツキアライヴァル/Last Note．　④つばさ
22.Ｍの心像/かりく　・スルー
23.熱異常/いよわ　①水筒
24.アブストラクト・ナンセンス/Neru　×しがない炭酸飲料→★(1)なすの惑星
25.ヘテロドキシー/椎乃味醂　×すBAR→・スルー
26.晴天を穿つ/傘村トータ　×間宵→③あご星人
27.Knife/れるりり　×あさぼらけ→④あご星人
28.バイビーベイビーサヨウナラ/saiB　②水筒
29.マトリョシカ/ハチ　④すBAR
30.まだ知らない君がいる！/椎乃味醂　★(2)すBAR
31.18歳の責任/傘村トータ　・スルー
32.テスラは夢の中/西沢さんP　×あご星人→★(3)つばさ
33.セカイセイフク/caco-2　・スルー
34.恋は戦争/ryo　②HAN
35.裏命ちゃんのフクオカトリップ奇騒曲/南ノ南　③間宵
36.ブラッディ グラビティ/ねじ式　・スルー
37.アンチビート/DECO*27　③HAN
38.存在証明/zakooon　・スルー
39.GURU/じん　④水筒
40.ザムザ/てにをは　④水筒
41.再現.leaper/奏　②おはよう
42.悪ノ召使/悪ノＰ　×あさぼらけ→④HAN
43.骸骨楽団とリリア/トーマ　★(4)水筒
44.アディショナルメモリー/じん　×間宵→★(5)あご星人
45.ももいろの鍵/いよわ　②しがない炭酸飲料
46.散り散り/読谷あかね　③あさぼらけ
47.とても痛い痛がりたい/EZFG　★(6)HAN
48.撫子色ハート /ユリイ・カノン　③しがない炭酸飲料
49.nice dog/ぬゆり　④あさぼらけ
50.そらをとぶ/Noz.　④間宵
51.ぼくらの16bit戦争/sasakure.UK　★(7)あさぼらけ
52.ドミノ倒シ/すこっぷ　④しがない炭酸飲料
53.踊れオーケストラ/YASUHIRO(康寛)　★(8)しがない炭酸飲料
54.セルハーム/youまん　×間宵→・スルー
55.ゴーストルール/DECO*27　①終了
56.化けの花/なきそ　②終了
57.匿名M/ピノキオピー　③終了
58.は？お前ほんとマジお前分かってねえわマジで一旦とりあえず聞けってマジ/d.j.ァネイロ　③おはよう
59.初めての恋が終わる時/ryo　④おはよう
60.ノンブレス・オブリージュ/ピノキオピー　★(9)間宵
61.ココロ・キセキ/ジュンP　・スルー
62.目覚めたあなたよ幸福たれ/HaTa　×おはよう→・スルー
63.ワンダラー/Ayase　・スルー
64.マンハッタン/wotaku　×おはよう→・スルー
65.トリノコシティ/40mP　④終了
66.明日世界が滅ぶなら/プロペリン　・スルー
67.病名恋ワズライ/HoneyWorks　・スルー
68.ネ　土　会　ェ　貝　南　犬　☆　カ　ゞ　ん　I　よ　″　る　ノ　D　A　!!｡/ぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬ　×おはよう→★(10)終了
69.クローバー♧クラブ -C♧C-/ゆうゆ　★(11)おはよう

【2026/06/19　ちあトロ(C2グループ)　セトリ】

1.ノウナイディスコ/r-906    ①フリスク
2.Q-SIDE/かかこ    ①きゅーいちさん
3.Parades/whoo    ・スルー
4.スプリットダンス/えいぷ    ×フリスク→×777→①すぼ
5.空に咲らう/Project Lumina    ①ﾏﾞｯｯｯ
6.おかえりロンリー/アゴアニキ    ①ぷれいやあ
7.月・影・舞・華/銀河方面P    ②フリスク
8.レミングミング/かいりきベア    ②ﾏﾞｯｯｯ
9.げのげ/なきそ    ③ﾏﾞｯｯｯ
10.ドライフラワー/しじま   ③フリスク
11.夕景イエスタデイ/じん    ②すぼ
12.ロミオとシンデレラ/doriko    ④フリスク
13.たりないかぼちゃ/ピノキオピー    ①トラノオ
14.椿に酔う。/るーぱあP    ×フリスク→①ぴーなっつ
15.Guilty Verse/ぺぺろんP    ①クスノキ
16.ガード下のメニュー/歩く人    ・スルー
17.やっちゃったわね/syudou    ×フリスク→④ﾏﾞｯｯｯ
18.夢遊病/イマニシ   ×ﾏﾞｯｯｯ→×きゅーいちさん→①かがみおん
19.ドラッグスコア/椎名もた    ①やま
20.暗闇のパレード/ゆちゃP    ×777→・スルー
21.blue bird/とくP    ②クスノキ
22.祈らず行脚/サツキ    ①千夜
23.1009転調/西島尊大    ×フリスク→×千夜→×ぷれいやあ→・スルー
24.Dreaming Leaf-ユメミルコトノハ-/OSTER Project    ②ぴーなっつ
25.ひとりぼっちのユーエフオー/ピノキオピー   ②トラノオ
26.孤独の宗教/syudou    ②きゅーいちさん
27.あいからかいあ/MARUDARUMA    ③トラノオ
28.透けてゆく/陽澄リョウ   ③すぼ
29.エイプリルスター/OSTER Project    ③きゅーいちさん
30.トエト/トラボルタ   ②やま
31.星詠みエンドラヴァー/亜沙    ②かがみおん
32.舌舐めずり、秘密のごちそう/卯花ロク    ×きゅーいちさん→×777→×すぼ→×ぷれいやあ→③ぴーなっつ
33.キャプテン・クックと水葬/666    ×ぴーなっつ→×トラノオ→・スルー
34.マイナスレッテル/かいりきベア   ③クスノキ
35.風に消える/こめだわら   ★(1)ﾏﾞｯｯｯ
36.CITRUS/Orangestar    ★(2)フリスク
37.赤いカラスが鳴いたから/NY    ④きゅーいちさん
38.かんせい/大漠波新    ②千夜
39.呪いのススメ/bibuko    ×クスノキ→・スルー
40.お遊戯会、はじまりはじまり/卯花ロク    ④すぼ
41.celluloid/baker    ④ぴーなっつ
42.イヤイヤ星人/イヤイヤP   ★(3)すぼ
43.クワガタにチョップしたらタイムスリップした/家の裏でマンボウが死んでるP    ③千夜
44.きみがすき/ハヤシケイ    ・スルー
45.らびにん/あじみ    ★(4)きゅーいちさん
46.春嵐/john    ①りつりつ
47.唯一、愛ノ詠/梅とら    ④クスノキ
48.このつまらない日々が素晴らしい/キノシタ   ②りつりつ
49.T氏の話を信じるな/ピノキオピー    ①たいこさん
50.Alice in Musicland/OSTER project    ×クスノキ→④トラノオ
51.さよならプリンセス/Kai    ③りつりつ
52.誤ッ謬/カイネ    ③かがみおん
53.サイドワインダー/ナナホシ管弦楽団    ★(5)トラノオ
54.心にもない/saikawa    ・スルー
55.ラストリゾート/Ayase   ④千夜
56.嘘つきの世界/すこっぷ    ★(6)クスノキ
57.在来ヒーローズ/150P    ①777
58.スズ/もふ@    ・スルー
59.If/無力P    ②ぷれいやあ
60.Initial Song/40mP    ×777→★(7)ぴーなっつ
61.ボーナスステージ/オワタP    ×たいこさん→×ぷれいやあ→④かがみおん
62.ひとりかくれんぼ/暴走P×デッドボールP   ・スルー
63.lili./有機酸    ③やま
64.胸いっぱいのダメを/ピノキオピー    ★(8)かがみおん
65.どういうことなの！？/くちばしP    ④りつりつ
66.ダストトレイル/Noz.   ×りつりつ→②777
67.インビジブル/kemu    ×千夜→③777
68.扇歌コンシール/たかちゅう    ×ぷれいやあ→・スルー
69.カンケーガール/マサラダ    ②たいこさん
70.スケープゴート・アンプリファー/Re:nG    ④777
71.コールボーイ/syudou    ★(9)777
