contentId	song	artist.0	artist.1
sm45968104	秘密のサボタージュ	いち野	
sm46180736	gONE	鬱P	
sm45970737	図々しい報酬系	読谷あかね	
sm45938997	愛言葉V	DECO*27	
sm39477874	逆さまの愚者	Mikade	
sm45263197	待ってて、彼岸で	rinri	
sm10613090	エコー	ハヤシケイ	
sm43413064	あっぱれだ！	シカクドット	
sm44094606	デュエルペット	gaburyu	
sm45344669	そのたび	大漠波新	
sm44110174	ていたいむず	綿ナラシ	
sm39186643	恒常性バイアス	キネマ神楽	
sm45330291	よっしゃ宇宙、いこう	あだちかすか	
sm44678886	遡行録	アモス	
sm44568500	煙の湊	世界電力	
sm20979838	regret	葵木ゴウ	
nm7449458	DRIVE TO THE MOON	U-ji	
sm8384884	ムゲンノホシゾラ	azuma	
sm39872037	行き場をなくしたこどもたち	電ǂ鯨	
sm27813657	Snowy Love	しろはりねずみ	
sm42572901	不出来物	⌘ ハイノミ	
sm45025054	拍動	ギガ	kemu
sm44288450	ANGEL DEBUGGER	■37	
sm43317378	ホワイタウト	一筆かもめ	
sm45908759	排反的ヴヰクトリア	不響和音	
sm45950299	私たちの距離 ── Scale of Us	nyanyannya	
so42102391	季節の頬とワンダーランド	Kai	
sm45970154	フレア	すっぱいとまと	
sm21047920	さよならグライダー	emon(Tes.)	
sm45880142	たびだちのうた	カラスヤサボウ	
sm43891004	神様じゃなくてごめんね	Aliey:S	
sm32607889	コトバナキコトバ	ふわりP	
sm32552101	失笑サマーアゲイン	Kohm(コーム）	
sm20860166	スノーワープ	もももも	
nm8821502	コロコロ	まーる	
sm44406681	日曜賛歌	まらしぃ	
sm45861874	名探偵！宮舞モカ	有線放送	
